STT,long,lat
791,103.76226160,22.67915110
792,103.76231920,22.67903480
793,103.76237790,22.67895150
794,103.76246410,22.67886530
795,103.76256870,22.67876510
796,103.76284090,22.67857080
797,103.76298170,22.67846070
798,103.76308370,22.67836410
799,103.76325930,22.67818100
800,103.76357450,22.67789890
801,103.76365630,22.67783820
802,103.76378770,22.67775900
803,103.76385080,22.67771080
804,103.76390170,22.67765630
805,103.76393660,22.67760810
806,103.76400770,22.67744720
807,103.76407880,22.67732470
808,103.76412200,22.67728520
809,103.76420350,22.67724180
810,103.76449450,22.67718490
811,103.76465010,22.67715760
812,103.76477210,22.67712300
813,103.76487950,22.67706260
814,103.76495320,22.67700540
815,103.76533140,22.67655500
816,103.76560090,22.67624320
817,103.76574440,22.67608970
818,103.76585710,22.67598700
819,103.76594560,22.67592270
820,103.76607700,22.67584720
821,103.76616280,22.67581380
822,103.76641230,22.67573830
823,103.76649010,22.67570740
824,103.76655040,22.67566280
825,103.76661880,22.67558860
826,103.76664970,22.67552470
827,103.76667380,22.67545740
828,103.76671400,22.67505400
829,103.76672740,22.67497850
830,103.76674490,22.67493770
831,103.76677840,22.67489070
832,103.76684140,22.67481770
833,103.76704930,22.67460730
834,103.76708420,22.67455530
835,103.76710560,22.67446130
836,103.76711230,22.67417290
837,103.76711900,22.67410240
838,103.76714320,22.67399850
839,103.76719280,22.67388960
840,103.76728210,22.67374680
841,103.76738730,22.67360990
842,103.76745300,22.67355170
843,103.76764340,22.67343050
844,103.76788080,22.67326590
845,103.76805250,22.67314210
846,103.76820800,22.67300110
847,103.76830060,22.67290210
848,103.76859690,22.67253450
849,103.76872840,22.67237240
850,103.76891610,22.67217690
851,103.76919930,22.67191940
852,103.76970200,22.67148640
853,103.77049330,22.67083300
854,103.77063270,22.67070680
855,103.77079900,22.67056570
856,103.77087280,22.67048900
857,103.77093450,22.67040980
858,103.77098810,22.67031330
859,103.77103640,22.67024270
860,103.77110350,22.67017840
861,103.77142130,22.66993760
862,103.77230640,22.66923910
863,103.77256120,22.66901030
864,103.77274630,22.66878370
865,103.77289650,22.66855600
866,103.77299310,22.66835310
867,103.77307890,22.66814020
868,103.77317820,22.66783830
869,103.77317550,22.66772690
870,103.77314910,22.66758500
871,103.77307090,22.66738040
872,103.77304140,22.66731600
873,103.77300110,22.66721210
874,103.77293410,22.66709080
875,103.77280800,22.66689030
876,103.77271150,22.66678390
877,103.77261560,22.66670220
878,103.77246470,22.66659090
879,103.77229030,22.66648440
880,103.77223100,22.66643580
881,103.77217770,22.66637310
882,103.77214820,22.66629140
883,103.77213480,22.66615770
884,103.77213480,22.66599190
885,103.77215360,22.66566270
886,103.77214300,22.66551380
887,103.77211600,22.66532120
888,103.77206770,22.66516280
889,103.77204950,22.66503590
890,103.77205570,22.66495730
891,103.77210260,22.66486450
892,103.77217230,22.66477660
893,103.77229840,22.66471230
894,103.77291800,22.66447960
895,103.77298440,22.66443430
896,103.77306550,22.66434850
897,103.77312990,22.66424200
898,103.77323450,22.66404150
899,103.77332840,22.66391280
900,103.77341150,22.66382370
901,103.77350810,22.66370740
902,103.77358850,22.66357870
903,103.77365550,22.66345120
904,103.77370120,22.66335100
905,103.77376020,22.66323470
906,103.77460490,22.66215010
907,103.77474460,22.66203920
908,103.77486790,22.66196490
909,103.77534000,22.66175700
910,103.77608840,22.66137580
911,103.77628420,22.66128430
912,103.77639070,22.66122620
913,103.77648800,22.66115560
914,103.77660600,22.66104170
915,103.77674550,22.66081150
916,103.77687860,22.66059940
917,103.77694670,22.66053680
918,103.77702710,22.66050950
919,103.77711830,22.66050710
920,103.77725240,22.66052690
921,103.77739460,22.66057880
922,103.77750720,22.66060610
923,103.77766280,22.66063580
924,103.77771650,22.66063830
925,103.77777810,22.66062090
926,103.77791490,22.66058380
927,103.77807320,22.66051700
928,103.77824100,22.66042470
929,103.77839500,22.66033140
930,103.77851840,22.66024470
931,103.77861770,22.66014570
932,103.77867670,22.66005910
933,103.77873420,22.65992800
934,103.77880000,22.65984120
935,103.77888320,22.65973490
936,103.77902000,22.65951200
937,103.77907100,22.65936600
938,103.77910850,22.65922980
939,103.77922920,22.65886600
940,103.77925640,22.65878340
941,103.77930700,22.65871260
942,103.77939550,22.65861110
943,103.77956710,22.65847500
944,103.77977370,22.65833390
945,103.77985150,22.65826700
946,103.77997220,22.65824620
947,103.77999900,22.65812590
948,103.77994550,22.65778630
949,103.77993200,22.65770020
950,103.77990590,22.65761910
951,103.77987160,22.65754920
952,103.77984480,22.65750960
953,103.77978180,22.65744770
954,103.77972010,22.65739330
955,103.77946520,22.65722500
956,103.77939550,22.65717050
957,103.77933700,22.65711860
958,103.77929360,22.65703190
959,103.77928020,22.65695770
960,103.77929090,22.65684380
961,103.77930160,22.65665820
962,103.77929090,22.65635370
963,103.77926270,22.65623850
964,103.77922390,22.65615320
965,103.77914610,22.65607650
966,103.77899590,22.65599730
967,103.77883230,22.65593790
968,103.77863060,22.65587250
969,103.77851310,22.65584380
970,103.77837360,22.65578440
971,103.77830120,22.65573740
972,103.77824220,22.65565820
973,103.77820460,22.65559880
974,103.77809980,22.65535260
975,103.77790420,22.65504430
976,103.77769500,22.65478440
977,103.77758230,22.65466810
978,103.77746430,22.65459130
979,103.77727370,22.65448970
